LocationCode|City|StateProvince|Country|Description
BBI|Bhubaneswar|null|IN|Bhubaneswar Airport
BBK|Kasane|null|BW|Kasane Airport
BBU|Bucharest|null|RO|Baneasa Airport
BCN|Barcelona|null|ES|Barcelona Airport
BDA|Bermuda|null|BM|Bermuda International Airport
BDA|Hamilton||BM|Bermuda International Airport
BDB|Bundaberg|QL|AU|Bundaberg Airport
BDL|Hartford|CT|US|Bradley International Airport
BDL|Windsor Locks|CT|US|Bradley International Airport
BDL|Springfield|MA|US|Bradley International Airport
BDQ|Vadodara|null|IN|Vadodara Airport
BDS|Brindisi|null|IT|Papola Casale Airport
BDU|Bardufoss|null|NO|Bardufoss Airport
BED|Bedford|MA|US|Hanscom Field
BEG|Belgrade|null|YU|Beograd Airport
BEL|Belem|null|BR|Val De Cans Airport
BEO|Newcastle|NS|AU|Belmont Airport
BER|Berlin|null|DE|Metropolitan Area
BES|Brest|null|FR|Guipavas Airport
BET|Bethel|AK|US|Bethel Airport
BEY|Beirut|null|LB|Beirut International Airport
BFD|Bradford|PA|US|Bradford Airport
BFF|Scottsbluff|NE|US|Scotts Bluff County Airport
BFI|Seattle|WA|US|Boeing Field International Airport
BFL|Bakersfield|CA|US|Meadows Field
BFN|Bloemfontein|null|ZA|Bloemfontein International Airport
BFS|Belfast|null|GB|Belfast International Airport
BGA|Bucaramanga|null|CO|Palo Negro Airport
BGF|Bangui|null|CF|Bangui Airport
BGI|Bridgetown|null|BB|Grantley Adams International Airport
BGM|Johnson City|NY|US|Binghamton Airport
BGM|Binghamton|NY|US|Binghamton Airport
BGM|Endicott|NY|US|Binghamton Airport
BGO|Bergen|null|NO|Flesland Airport
BGR|Bangor|ME|US|Bangor International Airport
BGY|Milan|null|IT|Orio Al Serio Airport
BHB|Bar Harbour|ME|US|Bar Harbor Airport
BHD|Belfast|null|GB|Belfast City Airport
BHE|Blenheim|null|NZ|Blenheim Airport
BHI|Bahia Blanca|null|AR|Comandante Airport
BHM|Birmingham|AL|US|Birmingham Airport
BHO|Bhopal|null|IN|Bhopal Airport
BHX|Birmingham|null|GB|Birmingham International Airport
BHY|Beihai|null|CN|Beihai Airport
BHZ|Belo Horizonte|null|BR|Metropolitan Area
BIA|Bastia|null|FR|Poretta Airport
BIL|Billings|MT|US|Billings Airport
BIO|Bilbao|null|ES|Bilbao Airport
BIQ|Biarritz|null|FR|Biarritz Parme Airport
BIS|Bismarck|ND|US|Bismarck Airport
BJI|Bemidji|MN|US|Bemidji Airport
BJL|Banjul|null|GM|Yundum International Airport
BJM|Bujumbura|null|BI|Bujumbura International Airport
BJV|Bodrum.|null|TR|Milas Airport
BJX|Leon/Guanajuato|null|MX|Del Bajio Airport
BJZ|Badajoz|null|ES|Talaveral La Real Airport
BKI|Kota Kinabalu|null|MY|Kota Kinabalu Airport
BKK|Bangkok|null|TH|Bangkok International Airport
BKO|Bamako|null|ML|Bamako Airport
BKW|Beckley|WV|US|Beckley Airport
BKX|Brookings|SD|US|Brookings Airport
BLA|Barcelona|null|VE|Gen J A Anzoategui Airport
BLE|Borlange|null|SE|Dala Airport
BLF|Bluefield|WV|US|Mercer County Airport
BLF|Princeton|WV|US|Mercer County Airport
BLI|Bellingham|WA|US|Bellingham Airport
BLK|Blackpool|null|GB|Blackpool Airport
BLL|Billund|null|DK|Billund Airport
BLQ|Bologna|null|IT|Guglielmo Marconi Airport
BLR|Bangalore|null|IN|Hindustan Airport
BLZ|Blantyre|null|MW|Chileka Airport
BMA|Stockholm|null|SE|Bromma Airport
BME|Broome|WA|AU|Broome Airport
BMI|Bloomington-Normal|IL|US|Bloomington-Normal Airport
BNA|Nashville|TN|US|Nashville Metropolitan Airport
BNE|Brisbane|QL|AU|Brisbane International Airport
BNK|Ballina|NS|AU|Ballina Airport
BNN|Bronnoysund|null|NO|Bronnoy Airport
BOB|Bora Bora|null|PF|Motu-mute Airport
BOD|Bordeaux|null|FR|Bordeaux Airport
BOG|Bogota|null|CO|Eldorado Airport
BOI|Boise|ID|US|Boise Air Terminal (Gowen Field)
BOJ|Bourgas|null|BG|Bourgas Airport
BOM|Mumbai|null|IN|Mumbai Airport
BON|Bonaire|null|AN|Flamingo International Airport
BOO|Bodo|null|NO|Bodo Airport
BOS|Boston|MA|US|Logan International Airport
BPN|Balikpapan|null|ID|Sepingan Airport
BPS|Porto Seguro|null|BR|Porto Seguro Airport
BPT|Beaumont|TX|US|Jefferson County Airport
BQK|Brunswick|GA|US|Glynco Jetport
BQN|Aguadilla|null|PR|Borinquen Airport
BRC|San Carlos DeBariloche|null|AR|San Carlos de Bariloche International Airport
BRD|Brainerd|MN|US|Crow Wing County Airport
BRE|Bremen|null|DE|Bremen Airport
BRI|Bari|null|IT|Palese Airport
BRL|Burlington|IA|US|Burlington Airport
BRM|Barquisimeto|null|VE|Barquisimeto Airport
BRN|Berne|null|CH|Belp Airport
BRO|Brownsville|TX|US|South Padre Island International Airport
BRQ|Brno|null|CZ|Turany Airport
BRS|Bristol|null|GB|Bristol Airport
BRU|Brussels|null|BE|National Airport
BRW|Barrow|AK|US|Wiley Post/Will Rogers Memorial Airport
BSB|Brasilia|null|BR|Brasilia International Airport
BSL|Mulhouse/Basel|null|FR|EuroAirport Swiss
BSL|Basel/Mulhouse||CH|EuroAirport Swiss
BTM|Butte|MT|US|Butte Airport
BTR|Baton Rouge|LA|US|Ryan Airport
BTS|Bratislava|null|SK|Ivanka Airport
BTV|Burlington|VT|US|Burlington International Airport
BUD|Budapest|null|HU|Ferihegy Airport
BUE|Buenos Aires|null|AR|Metropolitan Area
BUF|Buffalo|NY|US|Greater Buffalo International Airport
BUH|Bucharest|null|RO|Metropolitan Area
BUQ|Bulawayo|null|ZW|Bulawayo Airport
BUR|Burbank|CA|US|Burbank Airport
BVB|Boa Vista|null|BR|Boa Vista Airport
BVE|Brive-La-Gaillarde|null|FR|Laroche Airport
BVI|Birdsville|QL|AU|Birdsville Airport
BWD|Brownwood|TX|US|Brownwood Airport
BWI|Baltimore|MD|US|Balt./Wash. International Airport
BWI|Washington|DC|US|Balt./Wash. International Airport
BWN|Bandar Seri Begawan|null|BN|Brunei International Airport
BWT|Burnie|TS|AU|Burnie Wynyard Airport
BXS|Borrego Springs|CA|US|Borrego Springs Airport
BYU|Bayreuth|null|DE|Bindlacher-Berg Airport
BZE|Belize City|null|BZ|Philip S.W. Goldson International Airport
BZN|Bozeman|MT|US|Gallatin Field
BZO|Bolzano|null|IT|Bolzano Airport
BZV|Brazzaville|null|CG|Maya Maya Airport
CAC|Cascavel|null|BR|Cascavel Airport
CAE|Columbia|SC|US|Columbia Metropolitan Airport
CAG|Cagliari|null|IT|Elmas Airport
CAI|Cairo|null|EG|Cairo International Airport
CAK|Akron/Canton|OH|US|Akron/Canton Regional Airport
CAN|Guangzhou|null|CN|Baiyun Airport
CAS|Casablanca|null|MA|Anfa Airport
CAY|Cayenne|null|GF|Rochambeau Airport
CBB|Cochabamba|null|BO|J Wilsterman Airport
CBE|Cumberland|MD|US|Wiley Ford Airport
CBG|Cambridge|null|GB|Cambridge Airport
CBR|Canberra|AC|AU|Canberra Airport
CCJ|Kozhikode|null|IN|Calicut Airport
CCP|Concepcion|null|CL|Carriel Sur Airport
CCS|Caracas|null|VE|Simon Bolivar Airport
CCU|Calcutta|null|IN|Netaji Subhas Chandra Airport
CDC|Cedar City|UT|US|Cedar City Airport
CDG|Paris|null|FR|Charles De Gaulle Airport
CDR|Chadron|NE|US|Chadron Airport
CDV|Cordova|AK|US|Mudhole Smith Airport
CEB|Cebu|null|PH|Cebu Airport
CEC|Crescent City|CA|US|Mc Namara Field
CEI|Chiang Rai|null|TH|Chiang Rai Airport
CEK|Chelyabinsk|null|RU|Chelyabinsk Airport
CEN|Ciudad Obregon|null|MX|Ciudad Obregon Airport
CEQ|Cannes|null|FR|Mandelieu Airport
CER|Cherbourg|null|FR|Maupertus Airport
CEZ|Cortez|CO|US|Montezuma County Airport
CFE|Clermont-Ferrand|null|FR|Aulnat Airport
CFN|Donegal|null|IE|Donegal Airport
CFR|Caen|null|FR|Carpiquet Airport
CFS|Coffs Harbour|NS|AU|Coffs Harbour Airport
CFU|Kerkyra|null|GR|I. Kapodistrias Airport
CFU|Corfu|null|GR|I. Kapodistrias Airport
CGB|Cuiaba|null|BR|M. Rondon Airport
CGD|Changde|null|CN|Changde Airport
CGH|Sao Paulo|null|BR|Congonhas Airport
CGI|Cape Girardeau|MO|US|Cape Girardeau Airport
CGK|Jakarta|null|ID|Soekarno-Hatta International Airport
CGN|Cologne|null|DE|Koeln/Bonn Airport
CGO|Zhengzhou|null|CN|Zhengzhou Airport
CGP|Chittagong|null|BD|Patenga Airport
CGQ|Changchun|null|CN|Changchun Airport
CGR|Campo Grande|null|BR|Campo Grande Internacional Airport
CGY|Cagayan De Oro|null|PH|Lumbia Airport
CHA|Chattanooga|TN|US|Lovell Field
CHC|Christchurch|null|NZ|Christchurch International Airport
CHI|Chicago|IL|US|Chicago FSS
CHO|Charlottesville|VA|US|Albemarle Airport
CHQ|Chania|null|GR|Souda Airport
CHS|Charleston|SC|US|Charleston International Airport
CIA|Rome|null|IT|Ciampino Airport
CIC|Chico|CA|US|Chico Airport
CID|Cedar Rapids|IA|US|Cedar Rapids Airport
CIG|Craig|CO|US|Craig-Moffat Airport
CIP|Chipata|null|ZM|Chipata Airport
CIU|Sault Ste Marie|MI|US|Chippewa County Airport
CIW|Canouan Island|null|VC|Canouan Island Airport
CIX|Chiclayo|null|PE|Cornel Ruiz Airport
CJB|Coimbatore|null|IN|Peelamedu Airport
CJC|Calama|null|CL|El Loa Airport
CJJ|Cheong Ju City|null|KR|Cheongju Airport
CJS|Ciudad Juarez|null|MX|Abraham Gonzalez International Airport
CJU|Cheju|null|KR|Jeju Airport
CKB|Clarksburg|WV|US|Benedum Airport
CKG|Chongqing|null|CN|Chongqing Airport
CKS|Carajas|null|BR|Carajas Airport
CKY|Conakry|null|GN|Conakry Airport
CLD|Carlsbad|CA|US|Carlsbad Airport
CLE|Cleveland|OH|US|Hopkins International Airport
CLJ|Cluj|null|RO|Napoca Airport
CLL|College Station|TX|US|Easterwood Field
CLM|Port Angeles|WA|US|Fairchild International Airport
CLO|Cali|null|CO|Alfonso B. Aragon Airport
CLQ|Colima|null|MX|Colima Airport
CLT|Charlotte|NC|US|Douglas Airport
CLY|Calvi|null|FR|Sainte Catherine Airport
CMB|Colombo|null|LK|Bandaranayake International Airport
CME|Ciudad Del Carmen|null|MX|Ciudad Del Carmen Airport
CMF|Chambery|null|FR|Chambery Airport
CMH|Columbus|OH|US|Port Columbus International Airport
CMI|Champaign|IL|US|Willard University Airport
CMN|Casablanca|null|MA|Mohamed V Airport
CMX|Hancock|MI|US|Houghton County Airport
CND|Constanta|null|RO|Kogalniceanu Airport
CNE|Canon City|CO|US|Canon City Airport
CNF|Belo Horizonte|null|BR|Tancredo Neves International Airport
CNM|Carlsbad|NM|US|Carlsbad Airport
CNS|Cairns|QL|AU|Cairns Airport
CNX|Chiang Mai|null|TH|Chiang Mai International Airport
CNY|Moab|UT|US|Canyonlands Field
COD|Cody/Yellowstone|WY|US|Yellowstone Regional Airport
COK|Cochin|null|IN|Kochi Airport
COO|Cotonou|null|BJ|Cotonou Airport
COR|Cordoba|null|AR|Pajas Blancas Airport
COS|Colorado Springs|CO|US|Peterson Field
COU|Columbia|MO|US|Columbia Regional Airport
CPE|Campeche|null|MX|Campeche International Airport
CPH|Copenhagen|null|DK|Copenhagen Airport
CPO|Copiapo|null|CL|Chamonate Airport
CPQ|Campinas|null|BR|Campinas International Airport
CPR|Casper|WY|US|Casper Airport
CPT|Cape Town|null|ZA|Cape Town International Airport
CRI|Crooked Island|null|BS|Crooked Island Airport
CRP|Corpus Christi|TX|US|Corpus Christi International Airport
CRV|Crotone|null|IT|Crotone Airport
CRW|Charleston|WV|US|Yeager Airport
CSG|Columbus|GA|US|Metropolitan Area
CSN|Carson City|NV|US|Carson City Airport
CTA|Catania|null|IT|Fontanarossa Airport
CTG|Cartagena|null|CO|Rafael Nunez Airport
CTL|Charleville|QL|AU|Charleville Airport
CTM|Chetumal|null|MX|Chetumal Airport
CTS|Sapporo|null|JP|Chitose Airport
CTU|Chengdu|null|CN|Chengdu Airport
CUC|Cucuta|null|CO|Camilo Dazo Airport
CUE|Cuenca|null|EC|Cuenca Airport
CUL|Culiacan|null|MX|Fedl De Bachigualato Airport
CUM|Cumana|null|VE|Cumana Airport
CUN|Cancun|null|MX|Cancun Airport
CUR|Curacao|null|AN|Aeropuerto Hato
CUU|Chihuahua|null|MX|Gen Fierro Villalobos Airport
CUZ|Cuzco|null|PE|Velazco Astete Airport
CVG|Cincinnati|OH|US|Cincinnati/Northern Kentucky Airport
CVJ|Cuernavaca|null|MX|Cuernavaca Airport
CVN|Clovis|NM|US|Clovis Municipal Airport
CVO|Albany|OR|US|Albany Airport
CVO|Corvallis|OR|US|Albany Airport
CWA|Wausau|WI|US|Central Wisconsin Airport
CWB|Curitiba|null|BR|Afonso Pena Airport
CWL|Cardiff|null|GB|Cardiff-Wales Airport
CXJ|Caxias Do Sul|null|BR|Campo Dos Bugres Airport
CYB|Cayman Brac Is|null|KY|Gerrard-Smith Airport
CYS|Cheyenne|WY|US|Cheyenne Airport
CZM|Cozumel|null|MX|Cozumel Airport
CZW|Czestochowa|null|PL|Czestochowa Airport
DAB|Daytona Beach|FL|US|Daytona Beach Regional Airport
DAC|Dhaka|null|BD|Zia International Airport
DAD|Da Nang|null|VN|Da Nang Airport
DAL|Dallas|TX|US|Love Field
DAM|Damascus|null|SY|Damascus International Airport
DAR|Dar Es Salaam|null|TZ|Dar Es Salaam International Airport
DAY|Dayton|OH|US|James Cox Dayton International Airport
DBO|Dubbo|NS|AU|Dubbo Airport
DBQ|Dubuque|IA|US|Dubuque Municipal Airport
DBV|Dubrovnik|null|HR|Dubrovnik Airport
DCA|Washington|DC|US|Ronald Reagan National Airport
DCF|Dominica|null|DM|Cane Field Airport
DDC|Dodge City|KS|US|Dodge City Municipal Airport
DEC|Decatur|IL|US|Decatur Airport
DEL|Delhi|null|IN|Indira Gandhi International Airport
DEN|Denver|CO|US|Denver International Airport
DFW|Dallas|TX|US|Dallas International Airport
DFW|Fort Worth|TX|US|Dallas International Airport
DGO|Durango|null|MX|Guadalupe Victoria Airport
DGT|Dumaguete|null|PH|Dumaguete Airport
DHN|Dothan|AL|US|Dothan Airport
DIB|Dibrugarh|null|IN|Chabua Airport
DIJ|Dijon|null|FR|Dijon Airport
DIK|Dickinson|ND|US|Dickinson Airport
DIY|Diyarbakir|null|TR|Diyarbakir Airport
DJE|Djerba|null|TN|Melita Airport
DKR|Dakar|null|SN|Yoff Airport
DLA|Douala|null|CM|Douala Airport
DLC|Dalian|null|CN|Dalian Airport
DLD|Geilo|null|NO|Dagali Airport
DLG|Dillingham|AK|US|Dillingham Municipal Airport
DLH|Duluth|MN|US|Duluth International Airport
DLM|Dalaman|null|TR|Dalaman Airport
DME|Moscow|null|RU|Domodedovo Airport
DMM|Dammam|null|SA|King Fahad International Airport
DND|Dundee|null|GB|Dundee Airport
DNR|Dinard|null|FR|Pleurtuit Airport
DOH|Doha|null|QA|Doha Airport
DOL|Deauville|null|FR|Saint Gatien Airport
DOM|Dominica|null|DM|Melville Hall Airport
DPL|Dipolog|null|PH|Dipolog Airport
DPO|Devonport|TS|AU|Devonport Airport
DPS|Denpasar Bali|null|ID|Ngurah Rai Airport
DRO|Durango|CO|US|La Plata Airport
DRS|Dresden|null|DE|Dresden Airport
DRT|Del Rio|TX|US|Del Rio International Airport
DRW|Darwin|NT|AU|Darwin Airport
DSM|Des Moines|IA|US|Des Moines Airport
DTM|Dortmund|null|DE|Dortmund Airport
DTT|Detroit|MI|US|Metropolitan Area
DTW|Detroit|MI|US|Wayne County Airport
DUB|Dublin|null|IE|Dublin Airport
DUD|Dunedin|null|NZ|Dunedin Airport
DUJ|Dubois|PA|US|Jefferson County Airport
DUR|Durban|null|ZA|Louis Botha Airport
DUS|Dusseldorf|null|DE|Dusseldorf Airport
DUT|Dutch Harbor|AK|US|Emergency Field
DVL|Devils Lake|ND|US|Devils Lake Airport
DVO|Davao|null|PH|Mati Airport
DXB|Dubai|null|AE|Dubai Airport
DZA|Dzaoudzi|null|YT|Dzaoudzi Airport
EAM|Nejran|null|SA|Nejran Airport
EAR|Kearney|NE|US|Kearney Airport
EAS|San Sebastian|null|ES|San Sebastian Airport
EAT|Wenatchee|WA|US|Pangborn Field
EAU|Eau Claire|WI|US|Eau Claire Airport
EBA|Elba Island|null|IT|Marina Di Campo Airport
EBB|Entebbe|null|UG|Entebbe Airport
EBJ|Esbjerg|null|DK|Esbjerg Airport
EBO|Ebon|null|MH|Ebon Airport
EDI|Edinburgh|null|GB|Turnhouse Airport
EFD|Houston|TX|US|Ellington Field
EFL|Kefallinia|null|GR|Argostolion Airport
EGC|Bergerac|null|FR|Roumanieres Airport
EGE|Vail/Eagle|CO|US|Eagle County Airport
EIN|Eindhoven|null|NL|Eindhoven Airport
EIS|Beef Island|null|VG|Beef Island Airport
EKO|Elko|NV|US|Elko Airport
ELD|El Dorado|AR|US|Goodwin Field
ELF|El Fasher|null|SD|El Fasher Airport
ELH|North Eleuthera|null|BS|North Eleuthera International Airport
ELM|Elmira|NY|US|Elmira Regional Airport
ELM|Corning|NY|US|Elmira Regional Airport
ELP|El Paso|TX|US|El Paso International Airport
ELS|East London|null|ZA|East London Airport
ELY|Ely|NV|US|Yelland Airport
EMA|Nottingham|null|GB|East Midlands Airport
EMD|Emerald|QL|AU|Emerald Airport
ENA|Kenai|AK|US|Kenai Airport
EOH|Medellin|null|CO|Enrique Olaya Herrera Airport
EPL|Epinal|null|FR|Mirecourt Airport
ERF|Erfurt|null|DE|Erfurt Airport
ERI|Erie|PA|US|Erie International Airport
ERS|Windhoek|null|NA|Eros Airport
ESB|Ankara|null|TR|Esenboga Airport
ESC|Escanaba|MI|US|Delta County Airport
ESD|Eastsound|WA|US|Orcas Island Airport
ESR|El Salvador|null|CL|El Salvador Airport
ETH|Elat|null|IL|Elat Airport
ETZ|Metz/Nancy|null|FR|Metz-Nancy-Lorraine Airport
EUG|Eugene|OR|US|Eugene Airport
EUN|Laayoune|null|MA|Hassan I Airport
EUX|St Eustatius|null|AN|F D Roosevelt Airport
EVE|Harstad-Narvik|null|NO|Evenes Airport
EVN|Yerevan|null|AM|Yerevan Airport
EVV|Evansville|IN|US|Dress Regional Airport
EWB|Fall River|MA|US|New Bedford Airport
EWB|New Bedford|MA|US|New Bedford Airport
EWN|New Bern|NC|US|Simmons Nott Airport
EWR|Newark|NJ|US|Newark International Airport
EXT|Exeter|null|GB|Exeter Airport
EYW|Key West|FL|US|Key West International Airport
EZE|Buenos Aires|null|AR|Ministro Pistarini Airport
FAI|Fairbanks|AK|US|Fairbanks International Airport
FAO|Faro|null|PT|Faro Airport
FAR|Fargo|ND|US|Hector Field
FAT|Fresno|CA|US|Fresno Air Terminal
FAY|Fayetteville|NC|US|Fayetteville Municipal Airport
FCA|Kalispell|MT|US|Glacier National Park Airport
FCO|Rome|null|IT|Fiumicino Airport
FDE|Forde|null|NO|Bringeland Airport
FDF|Fort De France|null|MQ|Lamentin Airport
FDH|Friedrichshafen|null|DE|Friedrichshafen Airport
FEZ|Fez|null|MA|Sais Airport
FIH|Kinshasa|null|CD|N'Djili Airport
FJR|Al-Fujairah|null|AE|Fujairah International Airport
FKB|Karlsruhe/Baden Baden|null|DE|Soellingen Airport
FKL|Franklin|PA|US|Chess-Lambertin Airport
FLG|Flagstaff|AZ|US|Pulliam Field
FLL|Fort Lauderdale|FL|US|Ft. Lauderdale International Airport
FLN|Florianopolis|null|BR|Hercilio Luz Airport
FLO|Florence|SC|US|Florence Airport
FLR|Florence|null|IT|Peretola Airport
FMA|Formosa|null|AR|El Pucu Airport
FMN|Farmington|NM|US|Farmington Municipal Airport
FMO|Muenster|null|DE|Muenster Airport
FMY|Fort Myers|FL|US|Page Field
FNA|Freetown|null|SL|Lungi International Airport
FNC|Funchal|null|PT|Funchal Airport
FNI|Nimes|null|FR|Garons Airport
FNL|Fort Collins/Loveland|CO|US|Fort Collins/Loveland Municipal Airport
FNT|Flint|MI|US|Bishop Airport
FOC|Fuzhou|null|CN|Fuzhou Airport
FOD|Fort Dodge|IA|US|Fort Dodge Airport
FOR|Fortaleza|null|BR|Pinto Martins Airport
FPO|Freeport|null|BS|Grand Bahama International Airport
FRA|Frankfurt|null|DE|Frankfurt International Airport
FRD|Friday Harbor|WA|US|Friday Harbor Airport
FRL|Forli|null|IT|Luigi Ridolfi Airport
FRO|Floro|null|NO|Flora Airport
FRS|Flores|null|GT|Santa Elena Airport
FRU|Bishkek|null|KG|Bishkek Airport
FSD|Sioux Falls|SD|US|Sioux Falls Regional Airport (Jo Foss Field)
FSM|Fort Smith|AR|US|Fort Smith Municipal Airport
FUE|Puerto del Rosario|null|ES|Puerto del Rosario Airport
FUE|Fuerteventura||ES|Puerto del Rosario Airport
FUK|Fukuoka|null|JP|Fukuoka Airport
FUN|Funafuti Atol|null|TV|Funafuti Atol International Airport
FUT|Futuna Island|null|WF|Futuna Island Airport
FWA|Fort Wayne|IN|US|Fort Wayne Municipal Airport/Baer Field
FYV|Fayetteville|AR|US|Fayetteville Municipal Airport (Drake Field)
GAJ|Yamagata|null|JP|Junmachi Airport
GAL|Galena|AK|US|Galena Airport
